year,population,males,females,ratio
1901,238396327,120791301,117358672,0.971582151
1911,252093390,128385368,123708022,0.96356792
1921,251321213,128546225,122774988,0.9551038
1931,278977238,142929689,135788921,0.950039995
1941,318660580,163685302,154690267,0.945046776
1951,361088090,185528462,175559628,0.946267899
1961,439234771,226293201,212941570,0.940998532
1971,548159652,284049276,264110376,0.929804785
1981,683329097,353374460,329954637,0.933725196
1991,846421039,439358440,407062599,0.926493182
2001,1028737436,532223090,496514346,0.932906436
2011,1210854977,623270258,587584719,0.942744679
